sp_name,species_author,status,family
Aelurillus logunovi,"Azarkina, 2004",accepted,Salticidae
Aelurillus lopadusae,"Cantarella, 1983",accepted,Salticidae
Aelurillus lucasi,"Roewer, 1951",accepted,Salticidae
Aelurillus luctuosus,"(Lucas, 1846)",accepted,Salticidae
Aelurillus lutosus,"(Tyschchenko, 1965)",accepted,Salticidae
Aelurillus m-nigrum,"Kulczyński, 1891",accepted,Salticidae
Aelurillus madagascariensis,"Azarkina, 2009",accepted,Salticidae
Aelurillus marusiki,"Azarkina, 2002",accepted,Salticidae
Aelurillus mayeti,"Simon, 1885",synonym,Salticidae
Aelurillus minimontanus,"Azarkina, 2002",accepted,Salticidae
Aelurillus minutus,"Azarkina, 2002",accepted,Salticidae
Aelurillus mirabilis,"Wesolowska, 2006",accepted,Salticidae
Aelurillus monardi,"(Lucas, 1846)",accepted,Salticidae
Aelurillus muganicus,"Dunin, 1984",synonym,Salticidae
Aelurillus nabataeus,"Prószyński, 2003",accepted,Salticidae
Aelurillus nenilini,"Azarkina, 2002",accepted,Salticidae
Aelurillus numidicus,"(Lucas, 1846)",accepted,Salticidae
Aelurillus ogieri,"(Simon, 1868)",synonym,Salticidae
Aelurillus pallidemaculatus,"Denis, 1937",synonym,Salticidae
Aelurillus plumipes,"(Thorell, 1875)",accepted,Salticidae
Aelurillus politiventris,"(O. Pickard-Cambridge, 1872)",accepted,Salticidae
Aelurillus quadrimaculatus,"Simon, 1889",accepted,Salticidae
Aelurillus reconditus,"Wesolowska & van Harten, 1994",accepted,Salticidae
Aelurillus restingae,"Schmidt, 1977",synonym,Salticidae
Aelurillus rubiginosopunctatus,"Schmidt, 1980",synonym,Salticidae
Aelurillus rugatus,"(Bösenberg & Lenz, 1895)",accepted,Salticidae
Aelurillus russellsmithi,"Azarkina, 2009",accepted,Salticidae
Aelurillus schembrii,"Cantarella, 1982",accepted,Salticidae
Aelurillus simoni,"(Lebert, 1877)",nomen dubium,Salticidae
Aelurillus simplex,"(Herman, 1879)",accepted,Salticidae
Aelurillus sinaicus,"Prószyński, 2000",synonym,Salticidae
Aelurillus spinicrus,"(Simon, 1871)",accepted,Salticidae
Aelurillus steinmetzi,"Metzner, 1999",accepted,Salticidae
Aelurillus steliosi,"Dobroruka, 2002",synonym,Salticidae
Aelurillus subaffinis,"Caporiacco, 1947",accepted,Salticidae
Aelurillus subfestivus,"Saito, 1934",accepted,Salticidae
Aelurillus tumidulus,"Wesolowska & Tomasiewicz, 2008",accepted,Salticidae
Aelurillus unitibialis,"Azarkina, 2002",accepted,Salticidae
Aelurillus v-insignitus,"(Clerck, 1757)",accepted,Salticidae
Aelurillus v-insignitus morulus,"(Simon, 1937)",accepted,Salticidae
Aelurillus v-insignitus obsoletus,"Kulczyński, 1891",accepted,Salticidae
Aelurillus westi,"Azarkina & Zamani, 2019",accepted,Salticidae
Aenigma,"Wesolowska & Haddad, 2009",homonym replaced,Salticidae
Afiola,"Peckham & Peckham, 1907",synonym,Salticidae
Afraflacilla altera,"(Wesolowska, 2000)",accepted,Salticidae
Afraflacilla antineae,"(Denis, 1954)",accepted,Salticidae
Afraflacilla arabica,"Wesolowska & van Harten, 1994",accepted,Salticidae
Afraflacilla asorotica,"(Simon, 1890)",accepted,Salticidae
Afraflacilla ballarini,"Cao & Li, 2016",accepted,Salticidae
Afraflacilla bamakoi,"Berland & Millot, 1941",accepted,Salticidae
Afraflacilla berlandi,"Denis, 1955",accepted,Salticidae
Afraflacilla bipunctata,"(Peckham & Peckham, 1903)",accepted,Salticidae
Afraflacilla braunsi,"(Peckham & Peckham, 1903)",accepted,Salticidae
Afraflacilla datuntata,"(Logunov & Zamanpoore, 2005)",accepted,Salticidae
Afraflacilla elegans,"(Wesolowska & Cumming, 2008)",accepted,Salticidae
Afraflacilla epiblemoides,"(Chyzer, 1891)",accepted,Salticidae
Afraflacilla eximia,"(Wesolowska & Russell-Smith, 2000)",accepted,Salticidae
Afraflacilla fayda,"(Wesolowska & van Harten, 2010)",accepted,Salticidae
Afraflacilla flavipes,"(Caporiacco, 1935)",accepted,Salticidae
Afraflacilla grayorum,"Zabka, 1993",accepted,Salticidae
Afraflacilla gunbar,"Zabka & Gray, 2002",accepted,Salticidae
Afraflacilla histrionica,"(Simon, 1902)",accepted,Salticidae
Afraflacilla huntorum,"Zabka, 1993",accepted,Salticidae
Afraflacilla imitator,"(Wesolowska & Haddad, 2013)",accepted,Salticidae
Afraflacilla javanica,"(Prószyński & Deeleman-Reinhold, 2012)",accepted,Salticidae
Afraflacilla karinae,"(Haddad & Wesolowska, 2011)",accepted,Salticidae
Afraflacilla kraussi,"(Marples, 1964)",accepted,Salticidae
Afraflacilla mikhailovi,"(Prószyński, 2000)",accepted,Salticidae
Afraflacilla mushrif,"(Wesolowska & van Harten, 2010)",accepted,Salticidae
Afraflacilla philippinensis,"(Prószyński, 1992)",accepted,Salticidae
Afraflacilla punctatus,"(Denis, 1947)",synonym,Salticidae
Afraflacilla refulgens,"(Wesolowska & Cumming, 2008)",accepted,Salticidae
Afraflacilla reiskindi,"(Prószyński, 1992)",accepted,Salticidae
Afraflacilla risbeci,"Berland & Millot, 1941",accepted,Salticidae
Afraflacilla roberti,"(Wesolowska, 2011)",accepted,Salticidae
Afraflacilla samoaensis,"(Prószyński, 1992)",synonym,Salticidae
Afraflacilla scenica,"Denis, 1955",accepted,Salticidae
Afraflacilla similis,"Berland & Millot, 1941",accepted,Salticidae
Afraflacilla spiniger,"(O. Pickard-Cambridge, 1872)",accepted,Salticidae
Afraflacilla stridulator,"Zabka, 1993",accepted,Salticidae
Afraflacilla tamaricis,"(Simon, 1885)",accepted,Salticidae
Afraflacilla tarajalis,"Miñano & Tamajón, 2017",accepted,Salticidae
Afraflacilla tripunctatus,"(Prószyński, 1989)",synonym,Salticidae
Afraflacilla venustula,"(Wesolowska & Haddad, 2009)",accepted,Salticidae
Afraflacilla vestjensi,"Zabka, 1993",accepted,Salticidae
Afraflacilla wadis,"(Prószyński, 1989)",accepted,Salticidae
Afraflacilla yeni,"Zabka, 1993",accepted,Salticidae
Afraflacilla zuluensis,"(Haddad & Wesolowska, 2013)",accepted,Salticidae
Afrobeata firma,"Wesolowska & van Harten, 1994",accepted,Salticidae
Afrobeata latithorax,"Caporiacco, 1941",accepted,Salticidae
Afrobeata magnifica,"Wesolowska & Russell-Smith, 2000",accepted,Salticidae
Afromarengo bimaculata,"(Peckham & Peckham, 1903)",accepted,Salticidae
Afromarengo coriacea,"(Simon, 1900)",accepted,Salticidae
Afromarengo kibonotensis,"(Lessert, 1925)",synonym,Salticidae
Afromarengo lyrifera,"(Wanless, 1978)",accepted,Salticidae
Afromarengo plana,"Haddad & Wesolowska, 2013",accepted,Salticidae
Agassa,"Simon, 1901",synonym,Salticidae
Agelista,"Simon, 1900",synonym,Salticidae
Agobardus anormalis,"Keyserling, 1885",accepted,Salticidae
Agobardus anormalis montanus,"Bryant, 1943",accepted,Salticidae
Agobardus bahoruco,"Zhang & Maddison, 2012",accepted,Salticidae
Agobardus blandus,"Bryant, 1947",accepted,Salticidae
