sp_name,species_author,status,family 
Ghumattus primus,"Prószyński, 1992",accepted,Salticidae
Giuiria unica,"Strand, 1906",accepted,Salticidae
Goajara,"Peckham & Peckham, 1907",synonym,Salticidae
Goleba jocquei,"Szüts, 2001",accepted,Salticidae
Goleba lyra,"Maddison & Zhang, 2006",accepted,Salticidae
Goleba pallens,"(Blackwall, 1877)",accepted,Salticidae
Goleba puella,"(Simon, 1885)",accepted,Salticidae
Goleba punctata,"(Peckham, Peckham & Wheeler, 1889)",accepted,Salticidae
Goleta peckhami,"Simon, 1900",accepted,Salticidae
Goleta workmani,"(Peckham & Peckham, 1885)",accepted,Salticidae
Gophoa,"Simon, 1901",synonym,Salticidae
Gorgasella eximia,"Chickering, 1946",accepted,Salticidae
Goya,"Mello-Leitão, 1945",synonym,Salticidae
Gramenca prima,"Rollard & Wesolowska, 2002",accepted,Salticidae
Grayenulla australensis,"Zabka, 1992",accepted,Salticidae
Grayenulla dejongi,"Zabka, 1992",accepted,Salticidae
Grayenulla nova,"Zabka, 1992",accepted,Salticidae
Grayenulla spinimana,"Zabka & Gray, 2002",accepted,Salticidae
Grayenulla waldockae,"Zabka, 1992",accepted,Salticidae
Grayenulla wilganea,"Zabka & Gray, 2002",accepted,Salticidae
Grayenulla wishartorum,"Zabka, 1992",accepted,Salticidae
Gypogyna forceps,"Simon, 1900",accepted,Salticidae
Habrocestoides bengalensis,"Prószyński, 1992",accepted,Salticidae
Habrocestoides darjeelingus,"Logunov, 1999",accepted,Salticidae
Habrocestoides indicus,"Prószyński, 1992",accepted,Salticidae
Habrocestoides micans,"Logunov, 1999",accepted,Salticidae
Habrocestoides nitidus,"Logunov, 1999",accepted,Salticidae
Habrocestoides phulchokiensis,"Logunov, 1999",accepted,Salticidae
Habrocestum africanum,"Wesolowska & Haddad, 2009",accepted,Salticidae
Habrocestum albimanum,"Simon, 1901",accepted,Salticidae
Habrocestum albopunctatum,"Wesolowska & van Harten, 2002",accepted,Salticidae
Habrocestum algericum,"Dalmas, 1920",accepted,Salticidae
Habrocestum arabicum,"Prószyński, 1989",accepted,Salticidae
Habrocestum auricomum,"Haddad & Wesolowska, 2013",accepted,Salticidae
Habrocestum bovaei,"(Lucas, 1846)",accepted,Salticidae
Habrocestum dubium,"Wesolowska & van Harten, 2002",accepted,Salticidae
Habrocestum dyali,"Roewer, 1955",nomen dubium,Salticidae
Habrocestum egaeum,"Metzner, 1999",accepted,Salticidae
Habrocestum ferrugineum,"Wesolowska & van Harten, 2002",accepted,Salticidae
Habrocestum flavimanum,"Simon, 1901",accepted,Salticidae
Habrocestum formosum,"Wesolowska, 2000",accepted,Salticidae
Habrocestum gibbosum,"Wesolowska & van Harten, 2007",accepted,Salticidae
Habrocestum graecum,"Dalmas, 1920",accepted,Salticidae
Habrocestum hantaneensis,"Kanesharatnam & Benjamin, 2016",accepted,Salticidae
Habrocestum hongkongiense,"Prószyński, 1992",accepted,Salticidae
Habrocestum ibericum,"Dalmas, 1920",accepted,Salticidae
Habrocestum ignorabile,"Wesolowska & van Harten, 2007",accepted,Salticidae
Habrocestum inquinatum,"Wesolowska & van Harten, 2002",accepted,Salticidae
Habrocestum kodigalaensis,"Kanesharatnam & Benjamin, 2016",accepted,Salticidae
Habrocestum latifasciatum,"(Simon, 1868)",accepted,Salticidae
Habrocestum laurae,"Peckham & Peckham, 1903",accepted,Salticidae
Habrocestum lepidum,"Dalmas, 1920",accepted,Salticidae
Habrocestum longispinum,"Sankaran, Malamel, Joseph & Sebastian, 2019",accepted,Salticidae
Habrocestum luculentum,"Peckham & Peckham, 1903",accepted,Salticidae
Habrocestum naivasha,"Dawidowicz & Wesolowska, 2016",accepted,Salticidae
Habrocestum namibicum,"Wesolowska, 2006",accepted,Salticidae
Habrocestum nigristernum,"Dalmas, 1920",accepted,Salticidae
Habrocestum ohiyaensis,"Kanesharatnam & Benjamin, 2016",accepted,Salticidae
Habrocestum ornaticeps,"(Simon, 1868)",accepted,Salticidae
Habrocestum panjabium,"Roewer, 1951",accepted,Salticidae
Habrocestum papilionaceum,"(L. Koch, 1867)",accepted,Salticidae
Habrocestum peckhami,"Rainbow, 1899",accepted,Salticidae
Habrocestum penicillatum,"Caporiacco, 1940",accepted,Salticidae
Habrocestum personatum,"Wesolowska & Russell-Smith, 2011",accepted,Salticidae
Habrocestum pullatum,"Simon, 1876",accepted,Salticidae
Habrocestum punctiventre,"Keyserling, 1882",accepted,Salticidae
Habrocestum sapiens,"(Peckham & Peckham, 1903)",accepted,Salticidae
Habrocestum schinzi,"Simon, 1887",accepted,Salticidae
Habrocestum shulovi,"Prószyński, 2000",accepted,Salticidae
Habrocestum simoni,"Dalmas, 1920",accepted,Salticidae
Habrocestum socotrense,"Wesolowska & van Harten, 2002",accepted,Salticidae
Habrocestum speciosum,"Wesolowska & van Harten, 1994",accepted,Salticidae
Habrocestum subdotatum,"Caporiacco, 1940",accepted,Salticidae
Habrocestum subpenicillatum,"Caporiacco, 1941",accepted,Salticidae
Habrocestum superbum,"Wesolowska, 2000",accepted,Salticidae
Habrocestum tanzanicum,"Wesolowska & Russell-Smith, 2000",accepted,Salticidae
Habrocestum verattii,"Caporiacco, 1936",accepted,Salticidae
Habrocestum virginale,"Wesolowska & van Harten, 2007",accepted,Salticidae
Habronattus abditus,"Griswold, 1987",accepted,Salticidae
Habronattus aestus,"Maddison, 2017",accepted,Salticidae
Habronattus agilis,"(Banks, 1893)",accepted,Salticidae
Habronattus alachua,"Griswold, 1987",accepted,Salticidae
Habronattus altanus,"(Gertsch, 1934)",accepted,Salticidae
Habronattus americanus,"(Keyserling, 1885)",accepted,Salticidae
Habronattus amicus,"(Peckham & Peckham, 1909)",accepted,Salticidae
Habronattus ammophilus,"(Chamberlin, 1924)",accepted,Salticidae
Habronattus anepsius,"(Chamberlin, 1924)",accepted,Salticidae
Habronattus angelus,"(Chamberlin, 1924)",synonym,Salticidae
Habronattus arcalorus,"Maddison & Maddison, 2016",accepted,Salticidae
Habronattus arizonensis,"(Banks, 1904)",synonym,Salticidae
Habronattus aztecanus,"(Banks, 1898)",accepted,Salticidae
Habronattus ballatoris,"Griswold, 1987",accepted,Salticidae
Habronattus banksi,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus belligerus,"(Peckham & Peckham, 1896)",synonym,Salticidae
Habronattus birgei,"(Peckham & Peckham, 1901)",synonym,Salticidae
Habronattus borealis,"(Banks, 1895)",accepted,Salticidae
Habronattus brunneus,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus brunneus insignis,"Bryant, 1942",synonym,Salticidae
Habronattus bulbipes,"(Chamberlin & Ivie, 1941)",accepted,Salticidae
Habronattus calcaratus,"(Banks, 1904)",accepted,Salticidae
Habronattus calcaratus agricola,"Griswold, 1987",accepted,Salticidae
Habronattus calcaratus maddisoni,"Griswold, 1987",accepted,Salticidae
Habronattus californicus,"(Banks, 1904)",accepted,Salticidae
Habronattus cambridgei,"Bryant, 1948",accepted,Salticidae
Habronattus cambridgei,"(Kraus, 1955)",synonym,Salticidae
Habronattus captiosus,"(Gertsch, 1934)",accepted,Salticidae
Habronattus carolinensis,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus carpus,"Griswold, 1987",accepted,Salticidae
Habronattus chamela,"Maddison, 2017",accepted,Salticidae
Habronattus ciboneyanus,"Griswold, 1987",accepted,Salticidae
Habronattus clypeatus,"(Banks, 1895)",accepted,Salticidae
Habronattus cockerelli,"(Banks, 1901)",accepted,Salticidae
Habronattus coecatus,"(Hentz, 1846)",accepted,Salticidae
Habronattus cognatus,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus conjunctus,"(Banks, 1898)",accepted,Salticidae
Habronattus contingens,"(Chamberlin, 1925)",accepted,Salticidae
Habronattus cuspidatus,"Griswold, 1987",accepted,Salticidae
Habronattus decorus,"(Blackwall, 1846)",accepted,Salticidae
Habronattus delectus,"(Peckham & Peckham, 1909)",accepted,Salticidae
Habronattus divaricatus,"(Banks, 1898)",accepted,Salticidae
Habronattus dolosus,"(Peckham & Peckham, 1901)",synonym,Salticidae
Habronattus dorotheae,"(Gertsch & Mulaik, 1936)",accepted,Salticidae
Habronattus dossenus,"Griswold, 1987",accepted,Salticidae
Habronattus eleganoides,"(Chamberlin & Ivie, 1941)",synonym,Salticidae
Habronattus eleganoides suranus,"(Chamberlin & Ivie, 1941)",synonym,Salticidae
Habronattus elegans,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus empyrus,"Maddison, 2017",accepted,Salticidae
Habronattus encantadas,"Griswold, 1987",accepted,Salticidae
Habronattus ensenadae,"(Petrunkevitch, 1930)",accepted,Salticidae
Habronattus facetus,"(Petrunkevitch, 1930)",accepted,Salticidae
Habronattus fallax,"(Peckham & Peckham, 1909)",accepted,Salticidae
Habronattus festus,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus formosus,"(Banks, 1906)",accepted,Salticidae
Habronattus forticulus,"(Gertsch & Mulaik, 1936)",accepted,Salticidae
Habronattus georgiensis,"(Chamberlin & Ivie, 1944)",accepted,Salticidae
Habronattus geronimoi,"Griswold, 1987",accepted,Salticidae
Habronattus gigas,"Griswold, 1987",accepted,Salticidae
Habronattus gilaensis,"Maddison & Maddison, 2016",accepted,Salticidae
Habronattus griseus,"(Peckham & Peckham, 1901)",synonym,Salticidae
Habronattus hallani,"(Richman, 1973)",accepted,Salticidae
Habronattus hirsutus,"(Peckham & Peckham, 1888)",accepted,Salticidae
Habronattus hondurasus,"(Roewer, 1951)",synonym,Salticidae
Habronattus huastecanus,"Griswold, 1987",accepted,Salticidae
Habronattus hutchinsoni,"(Peckham & Peckham, 1909)",synonym,Salticidae
Habronattus icenoglei,"(Griswold, 1979)",accepted,Salticidae
Habronattus iviei,"Griswold, 1987",accepted,Salticidae
Habronattus jucundus,"(Peckham & Peckham, 1909)",accepted,Salticidae
Habronattus kawini,"(Griswold, 1979)",accepted,Salticidae
Habronattus klauseri,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus kubai,"(Griswold, 1979)",accepted,Salticidae
Habronattus leuceres,"(Chamberlin, 1925)",accepted,Salticidae
Habronattus luminosus,"Maddison, 2017",accepted,Salticidae
Habronattus mataxus,"Griswold, 1987",accepted,Salticidae
Habronattus mexicanus,"(Peckham & Peckham, 1896)",accepted,Salticidae
Habronattus mimulus,"(Chamberlin & Gertsch, 1929)",synonym,Salticidae
Habronattus moratus,"(Gertsch & Mulaik, 1936)",accepted,Salticidae
Habronattus mundus,"(Peckham & Peckham, 1909)",synonym,Salticidae
Habronattus mustaciatus,"(Chamberlin & Ivie, 1941)",accepted,Salticidae
Habronattus nahuatlanus,"Griswold, 1987",accepted,Salticidae
Habronattus nemoralis,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus neomexicanus,"(Chamberlin, 1925)",accepted,Salticidae
Habronattus nesiotus,"Griswold, 1987",accepted,Salticidae
Habronattus nigripes,"(Chamberlin & Ivie, 1941)",synonym,Salticidae
Habronattus notialis,"Griswold, 1987",accepted,Salticidae
Habronattus ocala,"Griswold, 1987",accepted,Salticidae
Habronattus ophrys,"Griswold, 1987",accepted,Salticidae
Habronattus orbus,"Griswold, 1987",accepted,Salticidae
Habronattus oregonensis,"(Peckham & Peckham, 1888)",accepted,Salticidae
Habronattus paratus,"(Peckham & Peckham, 1896)",accepted,Salticidae
Habronattus peckhami,"(Banks, 1921)",accepted,Salticidae
Habronattus perfidus,"F. O. Pickard-Cambridge, 1901",synonym,Salticidae
Habronattus philipi,"(Gertsch & Jellison, 1939)",synonym,Salticidae
Habronattus pochtecanus,"Griswold, 1987",accepted,Salticidae
Habronattus politus,"(Peckham & Peckham, 1901)",synonym,Salticidae
Habronattus polius,"(Chamberlin, 1924)",synonym,Salticidae
Habronattus pretiosus,"Bryant, 1947",accepted,Salticidae
Habronattus pugillis,"Griswold, 1987",accepted,Salticidae
Habronattus pyrrithrix,"(Chamberlin, 1924)",accepted,Salticidae
Habronattus renidens,"Griswold, 1987",accepted,Salticidae
Habronattus roberti,"Maddison, 2017",accepted,Salticidae
Habronattus rufescens,"(Berland, 1934)",accepted,Salticidae
Habronattus rutherfordi,"(Gertsch & Mulaik, 1936)",synonym,Salticidae
Habronattus sabulosus,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus sansoni,"(Emerton, 1915)",accepted,Salticidae
Habronattus schlingeri,"(Griswold, 1979)",accepted,Salticidae
Habronattus scotsdalei,"(Peckham & Peckham, 1909)",synonym,Salticidae
Habronattus signatus,"(Banks, 1900)",accepted,Salticidae
Habronattus simplex,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus sugillatus,"Griswold, 1987",accepted,Salticidae
Habronattus superciliosus,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus tachypodus,"Chamberlin & Ivie, 1944",synonym,Salticidae
Habronattus tarascanus,"Griswold, 1987",accepted,Salticidae
Habronattus tarsalis,"(Banks, 1904)",accepted,Salticidae
Habronattus texanus,"(Chamberlin, 1924)",accepted,Salticidae
Habronattus tlaxcalanus,"Griswold, 1987",accepted,Salticidae
Habronattus tranquillus,"(Peckham & Peckham, 1901)",accepted,Salticidae
Habronattus trimaculatus,"Bryant, 1945",accepted,Salticidae
Habronattus tuberculatus,"(Gertsch & Mulaik, 1936)",accepted,Salticidae
Habronattus umatillus,"(Peckham & Peckham, 1909)",synonym,Salticidae
Habronattus ustulatus,"(Griswold, 1979)",accepted,Salticidae
Habronattus velivolus,"Griswold, 1987",accepted,Salticidae
Habronattus venatoris,"Griswold, 1987",accepted,Salticidae
Habronattus virgulatus,"Griswold, 1987",accepted,Salticidae
Habronattus viridipes,"(Hentz, 1846)",accepted,Salticidae
Habronattus waughi,"(Emerton, 1926)",accepted,Salticidae
Habronattus zapotecanus,"Griswold, 1987",accepted,Salticidae
Habronattus zebraneus,"F. O. Pickard-Cambridge, 1901",accepted,Salticidae
Hakka himeshimensis,"(Dönitz & Strand, 1906)",accepted,Salticidae
Hakka koreana,"(Wesolowska, 1981)",synonym,Salticidae
Hakka rugosa,"(Suguro & Nagano, 2015)",accepted,Salticidae
Haplopsecas annulipes,"Caporiacco, 1955",accepted,Salticidae
Harmochirus ahmedi,"Biswas, 2016",accepted,Salticidae
Harmochirus albibarbis,"Peckham & Peckham, 1895",synonym,Salticidae
Harmochirus bianoriformis,"(Strand, 1907)",accepted,Salticidae
Harmochirus brachiatus,"(Thorell, 1877)",accepted,Salticidae
Harmochirus duboscqi,"(Berland & Millot, 1941)",accepted,Salticidae
Harmochirus elegans,"(Peckham & Peckham, 1903)",synonym,Salticidae
Harmochirus exaggeratus,"Caleb & Mathai, 2015",accepted,Salticidae
Harmochirus insulanus,"(Kishida, 1914)",accepted,Salticidae
Harmochirus lloydi,"Narayan, 1915",accepted,Salticidae
Harmochirus luculentus,"Simon, 1886",accepted,Salticidae
Harmochirus modestus,"(Peckham & Peckham, 1903)",nomen dubium,Salticidae
Harmochirus niger,"Kishida, 1910",synonym,Salticidae
Harmochirus pineus,"Xiao & Wang, 2005",accepted,Salticidae
Harmochirus rufescens,"Caporiacco, 1940",nomen dubium,Salticidae
Harmochirus zabkai,"Logunov, 2001",accepted,Salticidae
Hasarina contortospinosa,"Schenkel, 1963",accepted,Salticidae
Hasarinella berlandi,"(Lessert, 1925)",accepted,Salticidae
Hasarinella distincta,"Haddad & Wesolowska, 2013",accepted,Salticidae
Hasarinella roeweri,"(Lessert, 1925)",accepted,Salticidae
Hasarius adansoni,"(Audouin, 1826)",accepted,Salticidae
Hasarius albipalpis,"(Marples, 1957)",synonym,Salticidae
Hasarius albocircumdatus,"(L. Koch, 1880)",synonym,Salticidae
Hasarius annamensis,"(Hogg, 1922)",synonym,Salticidae
Hasarius arcigerus,"Karsch, 1892",nomen dubium,Salticidae
Hasarius bellicosus,"Peckham & Peckham, 1896",accepted,Salticidae
Hasarius bisetatus,"Franganillo, 1930",accepted,Salticidae
Hasarius brauni,"(Schmidt, 1956)",synonym,Salticidae
Hasarius cheliceroides,"Borowiec & Wesolowska, 2002",accepted,Salticidae
Hasarius egaenus,"Thorell, 1895",accepted,Salticidae
Hasarius elisabethae,"Thorell, 1890",accepted,Salticidae
Hasarius firmus,"Wiśniewski & Wesolowska, 2013",accepted,Salticidae
Hasarius fusca,"(F. O. Pickard-Cambridge, 1901)",synonym,Salticidae
Hasarius glaucus,"Hogg, 1915",accepted,Salticidae
Hasarius inhebes,"Karsch, 1879",accepted,Salticidae
Hasarius inhonestus,"Keyserling, 1881",accepted,Salticidae
Hasarius insignis,"Simon, 1886",accepted,Salticidae
Hasarius insularis,"Wesolowska & van Harten, 2002",accepted,Salticidae
Hasarius kjellerupi,"Thorell, 1891",accepted,Salticidae
Hasarius kulczynskii,"Zabka, 1985",accepted,Salticidae
Hasarius kweilinensis,"(Prószyński, 1992)",accepted,Salticidae
Hasarius lisei,"Bauab & Soares, 1982",accepted,Salticidae
Hasarius longipalpis,"(Bösenberg & Strand, 1906)",synonym,Salticidae
Hasarius mahensis,"Wanless, 1984",accepted,Salticidae
Hasarius mulciber,"Keyserling, 1881",accepted,Salticidae
Hasarius nigriceps,"(Taczanowski, 1879)",synonym,Salticidae
Hasarius obscurus,"Keyserling, 1881",accepted,Salticidae
Hasarius orientalis,"(Zabka, 1985)",accepted,Salticidae
Hasarius pauciaculeis,"Caporiacco, 1941",accepted,Salticidae
Hasarius peckhami,"Petrunkevitch, 1914",accepted,Salticidae
Hasarius picturata,"(Karsch, 1898)",synonym,Salticidae
Hasarius raychaudhurii,"Biswas, 2017",accepted,Salticidae
Hasarius rufociliatus,"Simon, 1898",accepted,Salticidae
Hasarius rusticus,"Thorell, 1887",accepted,Salticidae
Hasarius scylax,"Thorell, 1892",accepted,Salticidae
Hasarius sulfuratus,"Thorell, 1891",accepted,Salticidae
Hasarius testaceus,"(Thorell, 1877)",accepted,Salticidae
Hasarius trivialis,"(Thorell, 1877)",accepted,Salticidae
Hasarius tropicus,"Jastrzebski, 2010",accepted,Salticidae
Hasarius workmani,"Thorell, 1892",accepted,Salticidae
Haterius,"Simon, 1900",synonym,Salticidae
Havaika albociliata,"(Simon, 1900)",accepted,Salticidae
Havaika arnedoi,"Prószyński, 2008",accepted,Salticidae
Havaika beattyi,"Prószyński, 2008",accepted,Salticidae
Havaika berlandi,"Prószyński, 2008",accepted,Salticidae
Havaika berryorum,"Prószyński, 2008",accepted,Salticidae
Havaika canosa,"(Simon, 1900)",accepted,Salticidae
Havaika ciliata,"Prószyński, 2008",accepted,Salticidae
Havaika cruciata,"(Simon, 1900)",accepted,Salticidae
Havaika flavipes,"(Berland, 1933)",accepted,Salticidae
Havaika gillespieae,"Prószyński, 2008",accepted,Salticidae
Havaika gressitti,"Prószyński, 2008",accepted,Salticidae
Havaika jamiesoni,"Prószyński, 2002",accepted,Salticidae
Havaika kahiliensis,"Prószyński, 2008",accepted,Salticidae
Havaika kauaiensis,"Prószyński, 2008",accepted,Salticidae
Havaika kraussi,"Prószyński, 2008",accepted,Salticidae
Havaika mananensis,"Prószyński, 2008",accepted,Salticidae
Havaika mauiensis,"Prószyński, 2008",accepted,Salticidae
Havaika navata,"(Simon, 1900)",accepted,Salticidae
Havaika nigrolineata,"(Berland, 1933)",accepted,Salticidae
Havaika oceanica,"Prószyński, 2008",accepted,Salticidae
Havaika pubens,"(Simon, 1900)",accepted,Salticidae
Havaika senicula,"(Simon, 1900)",accepted,Salticidae
Havaika tantalensis,"Prószyński, 2008",accepted,Salticidae
Havaika triangulifera,"(Berland, 1933)",accepted,Salticidae
Havaika valida,"(Simon, 1900)",accepted,Salticidae
Havaika verecunda,"(Simon, 1900)",accepted,Salticidae
Helicius chikunii,"(Logunov & Marusik, 1999)",accepted,Salticidae
Helicius cylindratus,"(Karsch, 1879)",accepted,Salticidae
Helicius hillaryi,"Zabka, 1981",accepted,Salticidae
Helicius yaginumai,"Bohdanowicz & Prószyński, 1987",accepted,Salticidae
Heliophanillus arabicus,"Prószyński, 1989",synonym,Salticidae
Heliophanillus conspiciendus,"Wesolowska & van Harten, 2010",accepted,Salticidae
Heliophanillus fulgens,"(O. Pickard-Cambridge, 1872)",accepted,Salticidae
Heliophanillus lucipeta,"(Simon, 1890)",synonym,Salticidae
Heliophanillus metallifer,"Wesolowska & van Harten, 2010",accepted,Salticidae
Heliophanillus suedicola,"(Simon, 1901)",accepted,Salticidae
Heliophanoides bhutanicus,"Prószyński, 1992",accepted,Salticidae
Heliophanoides epigynalis,"Prószyński, 1992",accepted,Salticidae
Heliophanoides spermathecalis,"Prószyński, 1992",accepted,Salticidae
Heliophanus abditus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus aberdarensis,"Wesolowska, 1986",accepted,Salticidae
Heliophanus activus,"(Blackwall, 1877)",accepted,Salticidae
Heliophanus acutissimus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus aelurilliformis,"(Berland & Millot, 1941)",synonym,Salticidae
Heliophanus aeneus,"(Hahn, 1832)",accepted,Salticidae
Heliophanus aeratus,"O. Pickard-Cambridge, 1872",synonym,Salticidae
Heliophanus aethiopicus,"Wesolowska, 2003",accepted,Salticidae
Heliophanus africanus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus agricola,"Wesolowska, 1986",accepted,Salticidae
Heliophanus agricoloides,"Wunderlich, 1987",accepted,Salticidae
Heliophanus albescens,"Denis, 1947",synonym,Salticidae
Heliophanus albonotatus,"Denis, 1962",synonym,Salticidae
Heliophanus albosignatus,"L. Koch, 1867",synonym,Salticidae
Heliophanus alienus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus ambiguus,"Lessert, 1925",synonym,Salticidae
Heliophanus anomalus,"Caporiacco, 1947",nomen dubium,Salticidae
Heliophanus anymphos,"Wesolowska, 2003",accepted,Salticidae
Heliophanus apiatus,"Simon, 1868",accepted,Salticidae
Heliophanus auratus,"C. L. Koch, 1835",accepted,Salticidae
Heliophanus aviculus,"Berland & Millot, 1941",accepted,Salticidae
Heliophanus baicalensis,"Kulczyński, 1895",accepted,Salticidae
Heliophanus beardi,"Peckham & Peckham, 1903",synonym,Salticidae
Heliophanus bellus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus berlandi,"Schenkel, 1963",synonym,Salticidae
Heliophanus berlandi,"Lawrence, 1937",accepted,Salticidae
Heliophanus bisulcus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus bolensis,"Wesolowska, 2003",accepted,Salticidae
Heliophanus brevis,"Wesolowska, 2003",accepted,Salticidae
Heliophanus butemboensis,"Wesolowska, 1986",accepted,Salticidae
Heliophanus calcarifer,"Simon, 1868",synonym,Salticidae
Heliophanus camtschadalicus,"Kulczyński, 1885",accepted,Salticidae
Heliophanus canariensis,"Wesolowska, 1986",accepted,Salticidae
Heliophanus capensis,"Wesolowska, 1986",accepted,Salticidae
Heliophanus capicola,"Simon, 1901",accepted,Salticidae
Heliophanus cassinicola,"Simon, 1910",accepted,Salticidae
Heliophanus cernuus,"Simon, 1868",synonym,Salticidae
Heliophanus charlesi,"Wesolowska, 2003",accepted,Salticidae
Heliophanus chikangawanus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus chovdensis,"Prószyński, 1982",accepted,Salticidae
Heliophanus claviger,"Simon, 1901",accepted,Salticidae
Heliophanus clercki,"Caporiacco, 1949",synonym,Salticidae
Heliophanus comorensis,"Dierkens, 2012",accepted,Salticidae
Heliophanus congolensis,"Giltay, 1935",accepted,Salticidae
Heliophanus conspicuus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus corsicus,"Simon, 1871",synonym,Salticidae
Heliophanus creticus,"Giltay, 1932",accepted,Salticidae
Heliophanus crudeni,"Lessert, 1925",accepted,Salticidae
Heliophanus cupreus,"(Walckenaer, 1802)",accepted,Salticidae
Heliophanus cupreus cuprescens,"(Simon, 1868)",accepted,Salticidae
Heliophanus cupreus globifer,"(Simon, 1868)",accepted,Salticidae
Heliophanus curvidens,"(O. Pickard-Cambridge, 1872)",accepted,Salticidae
Heliophanus cuspidatus,"Xiao, 2000",accepted,Salticidae
Heliophanus dampfi,"Schenkel, 1923",accepted,Salticidae
Heliophanus deamatus,"Peckham & Peckham, 1903",accepted,Salticidae
Heliophanus debilis,"Simon, 1901",accepted,Salticidae
Heliophanus decempunctatus,"(Caporiacco, 1941)",accepted,Salticidae
Heliophanus decoloratus,"Lawrence, 1928",synonym,Salticidae
Heliophanus decoratus,"L. Koch, 1875",accepted,Salticidae
Heliophanus deformis,"Wesolowska, 1986",accepted,Salticidae
Heliophanus delectus,"(O. Pickard-Cambridge, 1872)",synonym,Salticidae
Heliophanus demonstrativus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus dentatidens,"(O. Pickard-Cambridge, 1872)",synonym,Salticidae
Heliophanus deserticola,"Simon, 1901",accepted,Salticidae
Heliophanus didieri,"Simon, 1904",nomen dubium,Salticidae
Heliophanus difficilis,"Wesolowska, 1986",accepted,Salticidae
Heliophanus dilutus,"Denis, 1937",nomen dubium,Salticidae
Heliophanus dubius,"C. L. Koch, 1835",accepted,Salticidae
Heliophanus dubourgi,"Simon, 1904",nomen dubium,Salticidae
Heliophanus dunini,"Rakov & Logunov, 1997",accepted,Salticidae
Heliophanus dux,"Wesolowska & van Harten, 1994",accepted,Salticidae
Heliophanus edentulus,"Simon, 1871",accepted,Salticidae
Heliophanus encifer,"Simon, 1871",accepted,Salticidae
Heliophanus equester,"L. Koch, 1867",accepted,Salticidae
Heliophanus erythropleurus,"Kulczyński, 1901",accepted,Salticidae
Heliophanus eucharis,"Simon, 1887",accepted,Salticidae
Heliophanus excentricus,"Ledoux, 2007",accepted,Salticidae
Heliophanus exultans,"L. Koch, 1868",synonym,Salticidae
Heliophanus facetus,"(O. Pickard-Cambridge, 1872)",synonym,Salticidae
Heliophanus fagei,"(Schenkel, 1963)",synonym,Salticidae
Heliophanus falcatus,"Xiao & Yin, 1991",synonym,Salticidae
Heliophanus falcatus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus fascinatus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus feltoni,"Logunov, 2009",accepted,Salticidae
Heliophanus flavimaxillis,"Bösenberg & Strand, 1906",nomen dubium,Salticidae
Heliophanus flavipes,"(Hahn, 1832)",accepted,Salticidae
Heliophanus forcipifer,"Kulczyński, 1895",accepted,Salticidae
Heliophanus fuerteventurae,"Schmidt & Krause, 1996",accepted,Salticidae
Heliophanus furcatus,"(O. Pickard-Cambridge, 1872)",synonym,Salticidae
Heliophanus furcillatus,"Simon, 1868",nomen dubium,Salticidae
Heliophanus furvus,"Wesolowska & Haddad, 2014",accepted,Salticidae
Heliophanus giltayi,"Lessert, 1933",accepted,Salticidae
Heliophanus gladiator,"Wesolowska, 1986",accepted,Salticidae
Heliophanus glaucus,"Bösenberg & Lenz, 1895",accepted,Salticidae
Heliophanus gloriosus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus gramineus,"Wesolowska & Haddad, 2013",accepted,Salticidae
Heliophanus hamifer,"Simon, 1886",accepted,Salticidae
Heliophanus harpago,"Simon, 1910",accepted,Salticidae
Heliophanus hastatus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus haymozi,"Logunov, 2015",accepted,Salticidae
Heliophanus heliophanoides,"(O. Pickard-Cambridge, 1872)",synonym,Salticidae
Heliophanus heurtaultae,"Rollard & Wesolowska, 2002",accepted,Salticidae
Heliophanus horrifer,"Wesolowska, 1986",accepted,Salticidae
Heliophanus ibericus,"Wesolowska, 1986",accepted,Salticidae
Heliophanus ignorabilis,"Wesolowska, 1986",synonym,Salticidae
Heliophanus imerinensis,"Simon, 1901",accepted,Salticidae
